movie_id,movie_name,year,genre,director,cast
tt4535650,Dilwale,2015,"Action, Comedy, Drama",Rohit Shetty,"Shah Rukh Khan, Kajol, Varun Dhawan, Kriti Sanon"
tt13449624,Jug Jugg Jeeyo,2022,"Comedy, Drama, Family",Raj Mehta,"Varun Dhawan, Anil Kapoor, Kiara Advani, Neetu Singh"
tt2395469,Gully Boy,2019,"Drama, Music, Romance",Zoya Akhtar,"Ranveer Singh, Alia Bhatt, Siddhant Chaturvedi, Vijay Raaz"
tt2112124,Chennai Express,2013,"Action, Comedy, Drama",Rohit Shetty,"Deepika Padukone, Shah Rukh Khan, Sathyaraj, Nikitin Dheer"
tt7430722,War,2019,"Action, Adventure, Thriller",Siddharth Anand,"Hrithik Roshan, Tiger Shroff, Vaani Kapoor, Ashutosh Rana"
tt10295212,Shershaah,2021,"Action, Biography, Drama",Vishnuvardhan,"Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri"
tt7255568,Student of the Year 2,2019,"Action, Comedy, Drama",Punit Malhotra,"Tiger Shroff, Ananya Panday, Tara Sutaria, Aditya Seal"
tt14428598,Qala,2022,"Drama, Music",Anvita Dutt,"Triptii Dimri, Babil Khan, Swastika Mukherjee, Amit Sial"
tt4934950,Talvar,2015,"Crime, Drama, Mystery",Meghna Gulzar,"Irrfan Khan, Konkona Sen Sharma, Neeraj Kabi, Sohum Shah"
tt15281704,Kuttey,2023,"Action, Comedy, Crime",Aasmaan Bhardwaj,"Tabu, Arjun Kapoor, Naseeruddin Shah, Konkona Sen Sharma"
tt26445483,Fukrey 3,2023,"Comedy, Crime, Drama",Mrighdeep Lamba,"Pankaj Tripathi, Farhan Akhtar, Richa Chadha, Pulkit Samrat"
tt12856788,Dangerous,2022,"Action, Crime, Drama",Ram Gopal Varma,"Naina Ganguly, Rajpal Naurang Yadav, Mithun Purandare, Apsara Rani"
tt2905838,Bang Bang,2014,"Action, Adventure, Comedy",Siddharth Anand,"Hrithik Roshan, Katrina Kaif, Pawan Malhotra, Danny Denzongpa"
tt0222012,Hey Ram,2000,"Crime, Drama, History",Kamal Haasan,"Kamal Haasan, Shah Rukh Khan, Rani Mukerji, Hema Malini"
tt7518786,83,2021,"Biography, Drama, History",Kabir Khan,"Ranveer Singh, Deepika Padukone, Tahir Raj Bhasin, Jiiva"
tt15516726,Selfiee,2023,"Action, Comedy, Drama",Raj Mehta,"Akshay Kumar, Mrunal Thakur, Nushrratt Bharuccha, Emraan Hashmi"
