imdbId,title,releaseYear,genre,actors,directors
tt0315777,Ansh: The Deadly Part,2002,Musical | Action,Om Puri | Ashutosh Rana | Abbas | Sharbani Mukherji,Rajan Johri
tt0316154,Lal Salaam,2002,Musical | Action | Drama,Nandita Das | Sharad S. Kapoor | Makrand Deshpande | Vijay Raaz,Gaganvihari Borate
tt0316911,Yeh Kaisi Mohabbat,2002,Musical | Drama | Romance,Krishna Abhishek | Viveka Babajee | Sheeba Bhakri | Deeksha,Dinkar Kapur
tt0317811,Kasam,2001,Adventure | Drama | Crime,Naseeruddin Shah | Sunny Deol | Chunky Pandey | Neelam,Shibu Mitra
tt0319020,Awara Paagal Deewana,2002,Action | Comedy | Crime,Akshay Kumar | Sunil Shetty | Aftab Shivdasani | Preeti Jhangiani,Vikram Bhatt
tt0319736,The Legend of Bhagat Singh,2002,Biography | Drama | History,Ajay Devgn | Sushant Singh | D. Santosh | Akhilendra Mishra,Rajkumar Santoshi
tt0321067,Ab Ke Baras,2002,Adventure | Fantasy | Thriller,Arya Babbar | Amrita Rao | Ashutosh Rana | Shakti Kapoor,Raj Kanwar
tt0322653,Mere Yaar Ki Shaadi Hai,2002,Comedy | Drama | Musical,Uday Chopra | Tulip Joshi | Jimmy Shergill | Bipasha Basu,Sanjay Gadhvi
tt0323013,Lakshya,2004,War | Drama | Romance,Amitabh Bachchan | Hrithik Roshan | Preity Zinta | Sharad S. Kapoor,Farhan Akhtar
tt0324951,23rd March 1931: Shaheed,2002,Biography | Drama | History,Bobby Deol | Sunny Deol | Amrita Singh | Rahul Dev,Guddu Dhanoa
tt0325041,Badhaai Ho Badhaai,2002,Comedy | Drama | Musical,Anil Kapoor | Anang Desai | Rohini Hattangadi | Vinay Jain,Satish Kaushik
tt0326576,Humraaz,2002,Action | Musical | Mystery,Bobby Deol | Akshaye Khanna | Ameesha Patel | Johnny Lever,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla
tt0326600,Maine Dil Tujhko Diya,2002,Romance | Action | Drama,Sohail Khan | Sameera Reddy | Sanjay Dutt | Kabir Bedi,Sohail Khan
tt0326805,Chori Chori,2003,Comedy | Romance | Musical,Ajay Devgn | Sonali Bendre | Rani Mukerji | Kamini Kaushal,Milan Luthria
tt0326983,Jaani Dushman: Ek Anokhi Kahani,2002,Action | Fantasy | Horror,Akshay Kumar | Atul Agnihotri | Raj Babbar | Rajat Bedi,Rajkumar Kohli
tt0327004,Kuch Tum Kaho Kuch Hum Kahein,2002,Action | Drama | Romance,Vikram Gokhale | Dinesh Hingoo | Adi Irani | Farida Jalal,Ravi Sharma Shankar
tt0327005,Kyaa Dil Ne Kahaa,2002,Family | Romance,Rajesh Khanna | Tusshar Kapoor | Esha Deol | Raj Babbar,Sanjay Chhel
tt0327071,Om Jai Jagadish,2002,Drama | Musical,Waheeda Rehman | Anil Kapoor | Fardeen Khan | Abhishek Bachchan,Anupam Kher
tt0328503,Taj Mahal: An Eternal Love Story,2005,Drama | Musical | Romance,Zulfi Sayed | Sonya Jehan | Kabir Bedi | Arbaaz Khan,Akbar Khan
tt0328671,Yeh Hai Jalwa,2002,Comedy | Drama | Romance,Rishi Kapoor | Salman Khan | Ameesha Patel | Rati Agnihotri,David Dhawan
tt0328729,Dil Maange More!!!,2004,Romance,Shahid Kapoor | Smita Jaykar | Ayesha Takia | Tulip Joshi,Anant Mahadevan
tt0328998,Dil Hai Tumhaara,2002,Drama | Family | Romance,Arjun Rampal | Preity Zinta | Mahima Chaudhry | Jimmy Shergill,Kundan Shah
tt0329620,Soch,2002,Thriller,Sanjay Kapoor | Raveena Tandon | Aditi Govitrikar | Arbaaz Khan,Sushen Bhatnagar
